lemma,pos
a,det
abandon,v
abbey,n
ability,n
able,a
abnormal,a
abolish,v
abolition,n
abortion,n
about,adv
about,prep
above,a
above,adv
above,prep
abroad,adv
abruptly,adv
absence,n
absent,a
absolute,a
absolutely,adv
absorb,v
absorption,n
abstract,a
absurd,a
abuse,n
abuse,v
academic,a
academic,n
academy,n
accelerate,v
accent,n
accept,v
acceptable,a
acceptance,n
access,n
access,v
accessible,a
accident,n
accommodate,v
accommodation,n
accompany,v
accomplish,v
accord,n
accord,v
accordance,n
according,prep
accordingly,adv
account,n
account,v
accountability,n
accountant,n
accounting,a
accumulate,v
accumulation,n
accuracy,n
accurate,a
accurately,adv
accusation,n
accuse,v
accused,a
achieve,v
achievement,n
acid,n
acknowledge,v
acquaintance,n
acquire,v
acquisition,n
acre,n
across,adv
across,prep
act,n
act,v
action,n
activate,v
active,a
actively,adv
activist,n
activity,n
actor,n
actress,n
actual,a
actually,adv
acute,a
adapt,v
adaptation,n
add,v
added,a
addition,n
additional,a
address,n
address,v
adequate,a
adequately,adv
adjacent,a
adjective,n
adjust,v
adjustment,n
administer,v
administration,n
administrative,a
administrator,n
admiration,n
admire,v
admission,n
admit,v
adopt,v
adoption,n
adult,a
adult,n
advance,n
advance,v
advanced,a
advantage,n
adventure,n
adverse,a
advertise,v
advertisement,n
advertising,n
advice,n
advise,v
adviser,n
advisory,a
advocate,n
advocate,v
aesthetic,a
affair,n
affect,v
affection,n
affinity,n
afford,v
afraid,a
after,conj
after,prep
afternoon,n
afterwards,adv
again,adv
against,prep
age,n
age,v
aged,prep
agency,n
agenda,n
agent,n
aggregate,a
aggression,n
aggressive,a
ago,adv
agony,n
agree,v
agreed,a
agreement,n
agricultural,a
agriculture,n
ahead,adv
aid,n
aid,v
aids,n
aim,n
aim,v
air,n
aircraft,n
airline,n
airport,n
alarm,n
alarm,v
albeit,conj
album,n
alcohol,n
alert,a
alert,v
alien,a
alike,adv
alive,a
all,adv
all,det
allegation,n
allege,v
alleged,a
allegedly,adv
alliance,n
